# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3008, i.e. number of multipoles equal to 3007
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  132       3.754287167481e+03       1.115581022448e+00       0.000000000000e+00      -4.204236157479e+01       8.420473465895e-08       2.870473638679e-04      -1.319810277726e-06 
  133       3.788765120842e+03       1.119163175218e+00       0.000000000000e+00      -4.244715221560e+01       8.370273740567e-08       2.845626287849e-04      -1.311818005740e-06 
  134       3.823226436093e+03       1.122253550402e+00       0.000000000000e+00      -4.283505093610e+01       8.320580112552e-08       2.821048718676e-04      -1.304206428249e-06 
  135       3.857663028992e+03       1.124849623367e+00       0.000000000000e+00      -4.320558183482e+01       8.271478457382e-08       2.796765612561e-04      -1.296974190860e-06 
  136       3.892066326487e+03       1.126949419947e+00       0.000000000000e+00      -4.355827469029e+01       8.223028310964e-08       2.772796962276e-04      -1.290115967229e-06 
  137       3.926427254933e+03       1.128551529219e+00       0.000000000000e+00      -4.389266524471e+01       8.175260293949e-08       2.749157766291e-04      -1.283622245232e-06 
  138       3.960736228308e+03       1.129655116287e+00       0.000000000000e+00      -4.420829548756e+01       8.128173439386e-08       2.725857717394e-04      -1.277479109395e-06 
  139       3.994983136428e+03       1.130259935057e+00       0.000000000000e+00      -4.450471393924e+01       8.081732422273e-08       2.702900885623e-04      -1.271668019605e-06 
  140       4.029157333162e+03       1.130366341022e+00       0.000000000000e+00      -4.478147593469e+01       8.035864689549e-08       2.680285395491e-04      -1.266165586083e-06 
  141       4.063247624651e+03       1.129975304039e+00       0.000000000000e+00      -4.503814390705e+01       7.990457489141e-08       2.658003097522e-04      -1.260943340630e-06 
  142       4.097242257523e+03       1.129088421113e+00       0.000000000000e+00      -4.527428767127e+01       7.945354796614e-08       2.636039234088e-04      -1.255967504147e-06 
  143       4.131128907105e+03       1.127707929172e+00       0.000000000000e+00      -4.548948470775e+01       7.900354138019e-08       2.614372099543e-04      -1.251198750416e-06 
  144       4.164895671458e+03       1.125836792735e+00       0.000000000000e+00      -4.568332403392e+01       7.855273200888e-08       2.592982134935e-04      -1.246594639079e-06 
  145       4.198534188783e+03       1.123478949679e+00       0.000000000000e+00      -4.585541765038e+01       7.810171765069e-08       2.571881476359e-04      -1.242117837746e-06 
  146       4.232036806380e+03       1.120639114104e+00       0.000000000000e+00      -4.600539076762e+01       7.765166994626e-08       2.551088113923e-04      -1.237728659021e-06 
  147       4.265395596474e+03       1.117322716725e+00       0.000000000000e+00      -4.613287862095e+01       7.720366205185e-08       2.530616640434e-04      -1.233382292638e-06 
  148       4.298602350220e+03       1.113535918076e+00       0.000000000000e+00      -4.623752677480e+01       7.675865691647e-08       2.510478050323e-04      -1.229028597950e-06 
  149       4.331648571693e+03       1.109285621724e+00       0.000000000000e+00      -4.631899142690e+01       7.631749512234e-08       2.490679535125e-04      -1.224611893346e-06 
  150       4.364525471888e+03       1.104579487476e+00       0.000000000000e+00      -4.637693971259e+01       7.588088228267e-08       2.471224275513e-04      -1.220070742555e-06 
  151       4.397223962715e+03       1.099425944595e+00       0.000000000000e+00      -4.641105000906e+01       7.544937599049e-08       2.452111229885e-04      -1.215337737876e-06 
  152       4.429734650994e+03       1.093834205004e+00       0.000000000000e+00      -4.642101223959e+01       7.502337231261e-08       2.433334919516e-04      -1.210339280304e-06 
  153       4.462047832456e+03       1.087814276501e+00       0.000000000000e+00      -4.640652817781e+01       7.460309182230e-08       2.414885210255e-04      -1.204995356569e-06 
  154       4.494153485735e+03       1.081376975969e+00       0.000000000000e+00      -4.636731175196e+01       7.418856516475e-08       2.396747090783e-04      -1.199219313083e-06 
  155       4.526041266366e+03       1.074533942585e+00       0.000000000000e+00      -4.630308934913e+01       7.377961814911e-08       2.378900447429e-04      -1.192917626796e-06 
  156       4.557700500783e+03       1.067297651032e+00       0.000000000000e+00      -4.621360011954e+01       7.337585636092e-08       2.361319835534e-04      -1.185989672953e-06 
  157       4.589120180311e+03       1.059681424706e+00       0.000000000000e+00      -4.609859628075e+01       7.297664928887e-08       2.343974247380e-04      -1.178327489770e-06 
  158       4.620288955169e+03       1.051699448933e+00       0.000000000000e+00      -4.595784342196e+01       7.258111395975e-08       2.326826876667e-04      -1.169815540009e-06 
  159       4.651195128460e+03       1.043366784173e+00       0.000000000000e+00      -4.579112080822e+01       7.218809807532e-08       2.309834879552e-04      -1.160330469466e-06 
  160       4.681826650172e+03       1.034699379235e+00       0.000000000000e+00      -4.559822168472e+01       7.179616264518e-08       2.292949132235e-04      -1.149740862364e-06 
  161       4.712171956114e+03       1.025713717950e+00       0.000000000000e+00      -4.537895113942e+01       7.140403785998e-08       2.276126704178e-04      -1.137937597817e-06 
  162       4.742222580710e+03       1.016425696352e+00       0.000000000000e+00      -4.513311883993e+01       7.101212069616e-08       2.259370667875e-04      -1.124929987764e-06 
  163       4.771970764863e+03       1.006851670990e+00       0.000000000000e+00      -4.486054623280e+01       7.062120651210e-08       2.242695096716e-04      -1.110761910313e-06 
  164       4.801408629698e+03       9.970088279641e-01       0.000000000000e+00      -4.456106921808e+01       7.023203229196e-08       2.226112734178e-04      -1.095482499247e-06 
  165       4.830528174442e+03       9.869151944481e-01       0.000000000000e+00      -4.423453844232e+01       6.984527039891e-08       2.209634914103e-04      -1.079146316840e-06 
  166       4.859321274309e+03       9.765896502161e-01       0.000000000000e+00      -4.388081959159e+01       6.946152211987e-08       2.193271479701e-04      -1.061813528811e-06 
  167       4.887779678386e+03       9.660519391649e-01       0.000000000000e+00      -4.349979368450e+01       6.908131099907e-08       2.177030701287e-04      -1.043550081420e-06 
  168       4.915895007516e+03       9.553226808387e-01       0.000000000000e+00      -4.309135736522e+01       6.870507595786e-08       2.160919192746e-04      -1.024427880702e-06 
  169       4.943658752179e+03       9.444233819534e-01       0.000000000000e+00      -4.265542319651e+01       6.833316419814e-08       2.144941826725e-04      -1.004524973844e-06 
  170       4.971062270381e+03       9.333764479204e-01       0.000000000000e+00      -4.219191995272e+01       6.796582388672e-08       2.129101648560e-04      -9.839257326900e-07 
  171       4.998096785533e+03       9.222051943706e-01       0.000000000000e+00      -4.170079291283e+01       6.760319661803e-08       2.113399788931e-04      -9.627210394014e-07 
  172       5.024753384339e+03       9.109338586792e-01       0.000000000000e+00      -4.118200415346e+01       6.724530965259e-08       2.097835375243e-04      -9.410084742429e-07 
  173       5.051023014676e+03       8.995876114889e-01       0.000000000000e+00      -4.063553284187e+01       6.689206792849e-08       2.082405441742e-04      -9.188925055149e-07 
  174       5.076896483483e+03       8.881925682349e-01       0.000000000000e+00      -4.006137552902e+01       6.654324584339e-08       2.067104838359e-04      -8.964846816225e-07 
  175       5.102364454638e+03       8.767758006685e-01       0.000000000000e+00      -3.945954644258e+01       6.619847880430e-08       2.051926138283e-04      -8.739038252850e-07 
  176       5.127417446850e+03       8.653653483811e-01       0.000000000000e+00      -3.883007777990e+01       6.585725454256e-08       2.036859544261e-04      -8.512762298832e-07 
  177       5.152045831536e+03       8.539902303289e-01       0.000000000000e+00      -3.817302000112e+01       6.551890419146e-08       2.021892793639e-04      -8.287358579474e-07 
  178       5.176239830708e+03       8.426804563565e-01       0.000000000000e+00      -3.748844212209e+01       6.518259312364e-08       2.007011062114e-04      -8.064245417837e-07 
