# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  124       3.481087319203e+03       1.073466162452e+00       5.059639651760e-03      -3.819379819460e+01       8.828513005177e-08       3.076622115705e-04      -1.396881926999e-06 
  125       3.515395075979e+03       1.080884480264e+00       5.144791632464e-03      -3.871316866611e+01       8.776726735859e-08       3.049872913444e-04      -1.385969415051e-06 
  126       3.549750725828e+03       1.087856309149e+00       5.230817251839e-03      -3.921970546693e+01       8.725489058757e-08       3.023578250582e-04      -1.375440286727e-06 
  127       3.584144006414e+03       1.094373685725e+00       5.317722812593e-03      -3.971285937326e+01       8.674610612788e-08       2.997634844168e-04      -1.365284525605e-06 
  128       3.618563863594e+03       1.100428986138e+00       5.405514687890e-03      -4.019208188482e+01       8.623830226934e-08       2.971919768162e-04      -1.355486041747e-06 
  129       3.652999556749e+03       1.106015256897e+00       5.494198999762e-03      -4.065683330370e+01       8.572906808264e-08       2.946323497482e-04      -1.346029611466e-06 
  130       3.687444154017e+03       1.111127226005e+00       5.583780614864e-03      -4.110660748683e+01       8.521930796606e-08       2.920857310784e-04      -1.336923719920e-06 
  131       3.721891384819e+03       1.115760423224e+00       5.674264037668e-03      -4.154091025423e+01       8.471069553751e-08       2.895561701125e-04      -1.328180836759e-06 
  132       3.756334537406e+03       1.119910882475e+00       5.765653719511e-03      -4.195925206490e+01       8.420473465895e-08       2.870473638679e-04      -1.319810277726e-06 
  133       3.790766447091e+03       1.123575154680e+00       5.857954056095e-03      -4.236114830191e+01       8.370273740567e-08       2.845626287849e-04      -1.311818005740e-06 
  134       3.825179484473e+03       1.126750320626e+00       5.951169385000e-03      -4.274611955759e+01       8.320580112552e-08       2.821048718676e-04      -1.304206428249e-06 
  135       3.859565543666e+03       1.129434003812e+00       6.045303983176e-03      -4.311369191866e+01       8.271478457382e-08       2.796765612561e-04      -1.296974190860e-06 
  136       3.893916030531e+03       1.131624383305e+00       6.140362064460e-03      -4.346339725139e+01       8.223028310964e-08       2.772796962276e-04      -1.290115967229e-06 
  137       3.928221850898e+03       1.133320206590e+00       6.236347777069e-03      -4.379477348673e+01       8.175260293949e-08       2.749157766291e-04      -1.283622245232e-06 
  138       3.962473398796e+03       1.134520802431e+00       6.333265201110e-03      -4.410736490551e+01       8.128173439386e-08       2.725857717394e-04      -1.277479109395e-06 
  139       3.996660544683e+03       1.135226093715e+00       6.431118346084e-03      -4.440072242354e+01       8.081732422273e-08       2.702900885623e-04      -1.271668019605e-06 
  140       4.030772623670e+03       1.135436610312e+00       6.529911148389e-03      -4.467440387676e+01       8.035864689549e-08       2.680285395491e-04      -1.266165586083e-06 
  141       4.064798423755e+03       1.135153501925e+00       6.629647468821e-03      -4.492797430643e+01       7.990457489141e-08       2.658003097522e-04      -1.260943340630e-06 
  142       4.098726174041e+03       1.134378550947e+00       6.730331090085e-03      -4.516100624427e+01       7.945354796614e-08       2.636039234088e-04      -1.255967504147e-06 
  143       4.132543532976e+03       1.133114185311e+00       6.831965714293e-03      -4.537307999756e+01       7.900354138019e-08       2.614372099543e-04      -1.251198750416e-06 
  144       4.166238585471e+03       1.131363546675e+00       6.934555205020e-03      -4.556378744317e+01       7.855273200888e-08       2.592982134935e-04      -1.246594639079e-06 
  145       4.199802969924e+03       1.129130675423e+00       7.038104345629e-03      -4.573274322890e+01       7.810171765069e-08       2.571881476359e-04      -1.242117837746e-06 
  146       4.233229038543e+03       1.126420368423e+00       7.142618151307e-03      -4.587957522363e+01       7.765166994626e-08       2.551088113923e-04      -1.237728659021e-06 
  147       4.266508870200e+03       1.123238138385e+00       7.248101630152e-03      -4.600392141027e+01       7.720366205185e-08       2.530616640434e-04      -1.233382292638e-06 
  148       4.299634264462e+03       1.119590227037e+00       7.354559782083e-03      -4.610543019107e+01       7.675865691647e-08       2.510478050323e-04      -1.229028597950e-06 
  149       4.332596735617e+03       1.115483618291e+00       7.461997597745e-03      -4.618376069295e+01       7.631749512234e-08       2.490679535125e-04      -1.224611893346e-06 
  150       4.365387506698e+03       1.110926051420e+00       7.570420057422e-03      -4.623858307280e+01       7.588088228267e-08       2.471224275513e-04      -1.220070742555e-06 
  151       4.397997503510e+03       1.105926034224e+00       7.679832129946e-03      -4.626957882282e+01       7.544937599049e-08       2.452111229885e-04      -1.215337737876e-06 
  152       4.430417348659e+03       1.100492856207e+00       7.790238771607e-03      -4.627644107581e+01       7.502337231261e-08       2.433334919516e-04      -1.210339280304e-06 
  153       4.462637355571e+03       1.094636601743e+00       7.901644925061e-03      -4.625887491050e+01       7.460309182230e-08       2.414885210255e-04      -1.204995356569e-06 
  154       4.494647522529e+03       1.088368163252e+00       8.014055518241e-03      -4.621659765686e+01       7.418856516475e-08       2.396747090783e-04      -1.199219313083e-06 
  155       4.526437526687e+03       1.081699254367e+00       8.127475463266e-03      -4.614933920143e+01       7.377961814911e-08       2.378900447429e-04      -1.192917626796e-06 
  156       4.557996718108e+03       1.074642423111e+00       8.241909655349e-03      -4.605684229263e+01       7.337585636092e-08       2.361319835534e-04      -1.185989672953e-06 
  157       4.589314113779e+03       1.067211065062e+00       8.357362971710e-03      -4.593886284603e+01       7.297664928887e-08       2.343974247380e-04      -1.178327489770e-06 
  158       4.620378391646e+03       1.059419436528e+00       8.473840270482e-03      -4.579517024976e+01       7.258111395975e-08       2.326826876667e-04      -1.169815540009e-06 
  159       4.651177884636e+03       1.051282667721e+00       8.591346389624e-03      -4.562554766974e+01       7.218809807532e-08       2.309834879552e-04      -1.160330469466e-06 
  160       4.681700574683e+03       1.042816775923e+00       8.709886145828e-03      -4.542979235504e+01       7.179616264518e-08       2.292949132235e-04      -1.149740862364e-06 
  161       4.711934929657e+03       1.034038314712e+00       8.829463569297e-03      -4.520771338654e+01       7.140403785998e-08       2.276126704178e-04      -1.137937597817e-06 
  162       4.741872509857e+03       1.024963259126e+00       8.950079534329e-03      -4.495912405822e+01       7.101212069616e-08       2.259370667875e-04      -1.124929987764e-06 
  163       4.771505581671e+03       1.015608046626e+00       9.071733916139e-03      -4.468384940251e+01       7.062120651210e-08       2.242695096716e-04      -1.110761910313e-06 
  164       4.800826293329e+03       1.005989943578e+00       9.194426331580e-03      -4.438172897755e+01       7.023203229196e-08       2.226112734178e-04      -1.095482499247e-06 
  165       4.829826672809e+03       9.961270567565e-01       9.318156134529e-03      -4.405261716073e+01       6.984527039891e-08       2.209634914103e-04      -1.079146316840e-06 
  166       4.858498625735e+03       9.860383448347e-01       9.442922411289e-03      -4.369638344225e+01       6.946152211987e-08       2.193271479701e-04      -1.061813528811e-06 
  167       4.886833933289e+03       9.757436298860e-01       9.568723975978e-03      -4.331291271868e+01       6.908131099907e-08       2.177030701287e-04      -1.043550081420e-06 
  168       4.914824250108e+03       9.652636088792e-01       9.695559365924e-03      -4.290210558649e+01       6.870507595786e-08       2.160919192746e-04      -1.024427880702e-06 
  169       4.942461102195e+03       9.546198651756e-01       9.823426837058e-03      -4.246387863565e+01       6.833316419814e-08       2.144941826725e-04      -1.004524973844e-06 
