# Matter power spectrum P(k) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.187897063570e-02       1.513934680046e+04 
       4.210897990296e-02       1.506083287263e+04 
       4.234275752207e-02       1.498214715385e+04 
       4.258049887929e-02       1.490342822529e+04 
       4.282241381174e-02       1.482446834636e+04 
       4.306872803283e-02       1.474556354031e+04 
       4.331968473448e-02       1.466594296759e+04 
       4.357554639239e-02       1.458633806431e+04 
       4.383659680558e-02       1.450650459178e+04 
       4.410314340670e-02       1.442638451172e+04 
       4.437551988666e-02       1.434576063792e+04 
       4.465408918488e-02       1.426505491647e+04 
       4.493924690674e-02       1.418403450573e+04 
       4.523142524156e-02       1.410225941204e+04 
       4.553109746937e-02       1.402075670155e+04 
       4.583878316292e-02       1.393825058790e+04 
       4.615505421356e-02       1.385546417651e+04 
       4.648054183779e-02       1.377208945974e+04 
       4.681594475556e-02       1.368824672757e+04 
       4.716203877478e-02       1.360374073509e+04 
       4.751968807098e-02       1.351840049507e+04 
       4.788985851912e-02       1.343252805231e+04 
       4.827363352157e-02       1.334565898902e+04 
       4.867223288565e-02       1.325810192601e+04 
       4.908703544429e-02       1.316937447123e+04 
       4.951960629099e-02       1.307940262782e+04 
       4.997172972756e-02       1.298827284702e+04 
       5.044544931184e-02       1.289585901268e+04 
       5.094311675861e-02       1.280201780845e+04 
       5.146745190628e-02       1.270619389817e+04 
       5.202161652903e-02       1.260886096067e+04 
       5.260930545364e-02       1.250872133519e+04 
       5.323485921040e-02       1.240615121704e+04 
       5.390340322855e-02       1.230060546500e+04 
       5.462101916884e-02       1.219155421437e+04 
       5.539495390357e-02       1.207816825955e+04 
       5.623386993609e-02       1.195978617325e+04 
       5.714813578562e-02       1.183517259087e+04 
       5.815014247927e-02       1.170264623372e+04 
       5.925460659385e-02       1.156045338393e+04 
       6.047877175703e-02       1.140594299196e+04 
       6.184233804007e-02       1.123480278716e+04 
       6.336682965378e-02       1.104294991934e+04 
       6.507399148387e-02       1.082365626932e+04 
       6.698281440826e-02       1.057001893701e+04 
       6.910518823160e-02       1.027383487909e+04 
       7.144119096440e-02       9.929146558774e+03 
       7.397626114992e-02       9.533012447054e+03 
       7.668257308393e-02       9.089381293722e+03 
       7.952474100253e-02       8.608838210958e+03 
       8.246705960878e-02       8.108219306921e+03 
       8.547889253097e-02       7.607254308152e+03 
       8.853683991712e-02       7.125152650616e+03 
       9.162442309766e-02       6.677927216191e+03 
       9.473065395465e-02       6.277362400365e+03 
       9.784846113389e-02       5.929482778302e+03 
       1.009733952733e-01       5.636098559498e+03 
       1.041026958044e-01       5.394407901648e+03 
       1.072346646422e-01       5.198139354691e+03 
       1.103682626709e-01       5.038929903803e+03 
       1.135028559525e-01       4.906787872741e+03 
       1.166380583786e-01       4.791237213556e+03 
       1.197736349529e-01       4.682564746198e+03 
       1.229094426498e-01       4.572098236698e+03 
       1.260453943628e-01       4.453330937186e+03 
       1.291814369686e-01       4.322169485407e+03 
       1.323175379950e-01       4.177140738517e+03 
       1.354536775225e-01       4.019303836183e+03 
       1.385898432666e-01       3.851741507115e+03 
       1.417260275918e-01       3.678981891101e+03 
       1.448622256980e-01       3.506325193451e+03 
       1.479984345189e-01       3.338884743095e+03 
       1.511346520524e-01       3.181352446876e+03 
       1.542708769530e-01       3.037260084485e+03 
       1.574071082834e-01       2.908960349959e+03 
       1.605433453635e-01       2.797355947372e+03 
       1.636795876773e-01       2.702234755701e+03 
       1.668158348157e-01       2.622134864731e+03 
       1.699520864417e-01       2.554869795304e+03 
       1.730883422680e-01       2.497582309561e+03 
       1.762246020435e-01       2.447155385535e+03 
       1.793608655439e-01       2.400405030385e+03 
       1.824971325664e-01       2.354466568143e+03 
       1.856334029253e-01       2.306926024102e+03 
       1.887696764495e-01       2.256089316281e+03 
       1.919059529806e-01       2.200941487697e+03 
       1.950422323710e-01       2.141282129147e+03 
       1.981785144832e-01       2.077660678298e+03 
       2.013147991885e-01       2.011160888780e+03 
       2.044510863663e-01       1.943247078167e+03 
       2.075873759037e-01       1.875564244492e+03 
       2.107236676943e-01       1.809714773301e+03 
       2.138599616383e-01       1.747150217271e+03 
       2.169962576416e-01       1.688966134310e+03 
       2.201325556155e-01       1.635920616481e+03 
       2.232688554763e-01       1.588329470825e+03 
       2.264051571452e-01       1.546115192583e+03 
       2.295414605475e-01       1.508853790213e+03 
       2.326777656126e-01       1.475885313269e+03 
       2.358140722737e-01       1.446280192436e+03 
       2.389503804676e-01       1.419102965866e+03 
       2.420866901344e-01       1.393337176854e+03 
       2.452230012171e-01       1.368089330584e+03 
       2.483593136618e-01       1.342598583570e+03 
       2.514956274172e-01       1.316295556181e+03 
       2.546319424346e-01       1.288884401607e+03 
       2.577682586677e-01       1.260252075661e+03 
       2.609045760723e-01       1.230537408433e+03 
       2.640408946064e-01       1.200028898339e+03 
       2.671772142301e-01       1.169153671695e+03 
       2.703135349051e-01       1.138418027922e+03 
       2.734498565952e-01       1.108307219609e+03 
       2.765861792656e-01       1.079286777313e+03 
       2.797225028830e-01       1.051714181796e+03 
       2.828588274160e-01       1.025857162800e+03 
       2.859951528341e-01       1.001849115307e+03 
       2.891314791084e-01       9.797091621782e+02 
       2.922678062113e-01       9.593352631969e+02 
       2.954041341161e-01       9.405272193920e+02 
       2.985404627975e-01       9.230456909386e+02 
       3.016767922310e-01       9.065744510409e+02 
       3.048131223935e-01       8.908027695569e+02 
       3.079494532625e-01       8.754386943827e+02 
       3.110857848165e-01       8.602365261742e+02 
       3.142221170349e-01       8.449987970140e+02 
       3.173584498979e-01       8.295909683975e+02 
       3.204947833865e-01       8.139626284380e+02 
       3.236311174824e-01       7.981234068777e+02 
       3.267674521681e-01       7.821285039114e+02 
       3.299037874267e-01       7.661145627682e+02 
       3.330401232418e-01       7.502007365693e+02 
       3.361764595979e-01       7.345377076244e+02 
       3.393127964798e-01       7.192711329934e+02 
       3.424491338731e-01       7.045219392519e+02 
       3.455854717638e-01       6.903944932752e+02 
       3.487218101384e-01       6.769244617911e+02 
       3.518581489838e-01       6.641449435717e+02 
       3.549944882876e-01       6.520394494288e+02 
       3.581308280377e-01       6.405602862439e+02 
       3.612671682224e-01       6.296360639275e+02 
       3.644035088304e-01       6.191726941534e+02 
       3.675398498509e-01       6.090840612959e+02 
       3.706761912733e-01       5.992686531863e+02 
       3.738125330874e-01       5.896408134255e+02 
       3.769488752835e-01       5.801342934809e+02 
       3.800852178520e-01       5.706892852013e+02 
       3.832215607839e-01       5.612872890268e+02 
       3.863579040701e-01       5.519012017164e+02 
       3.894942477021e-01       5.425532254180e+02 
       3.926305916715e-01       5.332564216989e+02 
       3.957669359704e-01       5.240603065278e+02 
       3.989032805910e-01       5.149913861538e+02 
       4.020396255255e-01       5.061002543102e+02 
       4.051759707669e-01       4.974201739220e+02 
       4.083123163079e-01       4.889903541428e+02 
       4.114486621416e-01       4.808218772505e+02 
       4.145850082614e-01       4.729321809731e+02 
       4.177213546609e-01       4.653273723794e+02 
       4.208577013337e-01       4.579905665968e+02 
       4.239940482738e-01       4.509036872951e+02 
       4.271303954753e-01       4.440440072447e+02 
       4.302667429324e-01       4.373818532409e+02 
       4.334030906395e-01       4.308867671265e+02 
       4.365394385913e-01       4.245292229729e+02 
       4.396757867824e-01       4.182910553348e+02 
       4.428121352079e-01       4.121382229948e+02 
       4.459484838627e-01       4.060675235342e+02 
       4.490848327419e-01       4.000650509125e+02 
       4.522211818410e-01       3.941284672200e+02 
       4.553575311554e-01       3.882576250299e+02 
       4.584938806806e-01       3.824637556269e+02 
       4.616302304123e-01       3.767562042908e+02 
       4.647665803463e-01       3.711418671384e+02 
       4.679029304785e-01       3.656368520878e+02 
       4.710392808051e-01       3.602470861920e+02 
       4.741756313220e-01       3.549814251158e+02 
       4.773119820255e-01       3.498419911428e+02 
       4.804483329120e-01       3.448323367210e+02 
       4.835846839779e-01       3.399553435240e+02 
       4.867210352198e-01       3.351989963339e+02 
       4.898573866341e-01       3.305623805281e+02 
       4.929937382177e-01       3.260340169787e+02 
       4.961300899672e-01       3.216048728122e+02 
       4.992664418797e-01       3.172664379964e+02 
       5.024027939519e-01       3.130074091452e+02 
       5.055391461810e-01       3.088214655803e+02 
       5.086754985639e-01       3.047001487274e+02 
       5.118118510980e-01       3.006417914496e+02 
       5.149482037803e-01       2.966416916613e+02 
       5.180845566083e-01       2.926974949562e+02 
       5.212209095792e-01       2.888125107411e+02 
       5.243572626905e-01       2.849843571683e+02 
       5.274936159397e-01       2.812172040729e+02 
       5.306299693243e-01       2.775128446714e+02 
       5.337663228420e-01       2.738719509223e+02 
       5.369026764903e-01       2.703006185506e+02 
       5.400390302671e-01       2.667978477415e+02 
       5.431753841701e-01       2.633620375959e+02 
       5.463117381970e-01       2.599985252660e+02 
       5.494480923458e-01       2.567003615365e+02 
       5.525844466145e-01       2.534661892172e+02 
       5.557208010009e-01       2.502974802818e+02 
       5.588571555030e-01       2.471877327826e+02 
       5.619935101190e-01       2.441363122911e+02 
       5.651298648469e-01       2.411382767849e+02 
       5.682662196849e-01       2.381878128255e+02 
