# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       4.142954037252e-02       6.288351883811e+06       6.245060090471e+06       7.672057302209e+02       7.195654929420e+02       0.000000000000e+00       6.279625777957e+06 
       4.165254751349e-02       6.256308294753e+06       6.213227859462e+06       7.720002363596e+02       7.200176894891e+02       0.000000000000e+00       6.247625203054e+06 
       4.187897063570e-02       6.224196615990e+06       6.181335811445e+06       7.746880167280e+02       7.094999002517e+02       0.000000000000e+00       6.215557860207e+06 
       4.210897990296e-02       6.191984217267e+06       6.149351682553e+06       7.382869699322e+02       6.987416051524e+02       0.000000000000e+00       6.183391181604e+06 
       4.234275752207e-02       6.159646035504e+06       6.117250780512e+06       7.154050617435e+02       6.851197534620e+02       0.000000000000e+00       6.151100178976e+06 
       4.258049887929e-02       6.127202796684e+06       6.085054016421e+06       7.211834757882e+02       6.587301404215e+02       0.000000000000e+00       6.118705602626e+06 
       4.282241381174e-02       6.094603590806e+06       6.052710991117e+06       6.979406911474e+02       6.551831454067e+02       0.000000000000e+00       6.086156632674e+06 
       4.306872803283e-02       6.061900500601e+06       6.020273879075e+06       6.912514994467e+02       6.541748057366e+02       0.000000000000e+00       6.053505356016e+06 
       4.331968473448e-02       6.028925834901e+06       5.987576049279e+06       6.847018402631e+02       6.407762162714e+02       0.000000000000e+00       6.020584294554e+06 
       4.357554639239e-02       5.995819949584e+06       5.954757612841e+06       6.513382876234e+02       6.376166651087e+02       0.000000000000e+00       5.987533721178e+06 
       4.383659680558e-02       5.962522044837e+06       5.921758419777e+06       6.619157528036e+02       6.217063282964e+02       0.000000000000e+00       5.954292966346e+06 
       4.410314340670e-02       5.929008826230e+06       5.888555691571e+06       6.405574670847e+02       6.137643991037e+02       0.000000000000e+00       5.920838813240e+06 
       4.437551988666e-02       5.895223479582e+06       5.855093320454e+06       6.249667557396e+02       6.011175947568e+02       0.000000000000e+00       5.887114581154e+06 
       4.465408918488e-02       5.861239548859e+06       5.821444988355e+06       6.384454977331e+02       5.818104799544e+02       0.000000000000e+00       5.853193817338e+06 
       4.493924690674e-02       5.826995052078e+06       5.787549505598e+06       5.924083525252e+02       5.781727786623e+02       0.000000000000e+00       5.819014670643e+06 
       4.523142524156e-02       5.792384362670e+06       5.753302299689e+06       5.883459513624e+02       5.571670963488e+02       0.000000000000e+00       5.784471726137e+06 
       4.553109746937e-02       5.757601789085e+06       5.718897344393e+06       5.897170526809e+02       5.466720104655e+02       0.000000000000e+00       5.749759177753e+06 
       4.583878316292e-02       5.722367452976e+06       5.684056745643e+06       5.840655213279e+02       5.330201384420e+02       0.000000000000e+00       5.714597540551e+06 
       4.615505421356e-02       5.686810230095e+06       5.648909453698e+06       5.577241891698e+02       5.310207129131e+02       0.000000000000e+00       5.679115662419e+06 
       4.648054183779e-02       5.650845570473e+06       5.613372079450e+06       5.611877065666e+02       5.208657531411e+02       0.000000000000e+00       5.643229208194e+06 
       4.681594475556e-02       5.614474797805e+06       5.577446751207e+06       5.356451295910e+02       5.056877011516e+02       0.000000000000e+00       5.606939618048e+06 
       4.716203877478e-02       5.577632251692e+06       5.541069014077e+06       5.355389340853e+02       4.833680531354e+02       0.000000000000e+00       5.570181450518e+06 
       4.751968807098e-02       5.540254718896e+06       5.504176929287e+06       5.037486117321e+02       4.821675044352e+02       0.000000000000e+00       5.532891705690e+06 
       4.788985851912e-02       5.502372979912e+06       5.466802151282e+06       5.001895519232e+02       4.670371672862e+02       0.000000000000e+00       5.495101298579e+06 
       4.827363352157e-02       5.463857473191e+06       5.428816906302e+06       4.896292963086e+02       4.609336024286e+02       0.000000000000e+00       5.456680985052e+06 
       4.867223288565e-02       5.424733129376e+06       5.390247206391e+06       4.933606021534e+02       4.554788868767e+02       0.000000000000e+00       5.417655861215e+06 
       4.908703544429e-02       5.384858624510e+06       5.350953796486e+06       4.647367842993e+02       4.415753951455e+02       0.000000000000e+00       5.377884962527e+06 
       4.951960629099e-02       5.344171244682e+06       5.310875724565e+06       4.611875416855e+02       4.366703924410e+02       0.000000000000e+00       5.337305883622e+06 
       4.997172972756e-02       5.302635217623e+06       5.269978947889e+06       4.450627390248e+02       4.195683573751e+02       0.000000000000e+00       5.295883126368e+06 
       5.044544931184e-02       5.260164569199e+06       5.228179600617e+06       4.275264310428e+02       4.092747081483e+02       0.000000000000e+00       5.253531078933e+06 
       5.094311675861e-02       5.216661997328e+06       5.185382672387e+06       4.280493314206e+02       4.048909234337e+02       0.000000000000e+00       5.210152832905e+06 
       5.146745190628e-02       5.171937239180e+06       5.141400808828e+06       4.128062190395e+02       3.895307032933e+02       0.000000000000e+00       5.165558633231e+06 
       5.202161652903e-02       5.125998946406e+06       5.096244534826e+06       3.923327935828e+02       3.809617588548e+02       0.000000000000e+00       5.119757427967e+06 
       5.260930545364e-02       5.078483128483e+06       5.049553865463e+06       3.770713622828e+02       3.630896243363e+02       0.000000000000e+00       5.072385967556e+06 
       5.323485921040e-02       5.029351847688e+06       5.001292983261e+06       3.729685865694e+02       3.497722799342e+02       0.000000000000e+00       5.023406662459e+06 
       5.390340322855e-02       4.978363201133e+06       4.951223099129e+06       3.724693378651e+02       3.428308331370e+02       0.000000000000e+00       4.972578172428e+06 
       5.462101916884e-02       4.925259339047e+06       4.899089192453e+06       3.406291027371e+02       3.197372860565e+02       0.000000000000e+00       4.919643162689e+06 
       5.539495390357e-02       4.869700294749e+06       4.844553915904e+06       3.261806123119e+02       3.121554152168e+02       0.000000000000e+00       4.864262194491e+06 
       5.623386993609e-02       4.811356048276e+06       4.787288629514e+06       3.299486469010e+02       3.016173981737e+02       0.000000000000e+00       4.806105563337e+06 
       5.714813578562e-02       4.749755564785e+06       4.726822553943e+06       2.996283479689e+02       2.901688695828e+02       0.000000000000e+00       4.744702408807e+06 
       5.815014247927e-02       4.684314012732e+06       4.662568678302e+06       2.837665106112e+02       2.791245971148e+02       0.000000000000e+00       4.679467742360e+06 
